"Catalog","OSDVersion","OSDStatus","UpdateOS","UpdateBuild","UpdateArch","UpdateGroup","CreationDate","KBNumber","FileKBNumber","Title","UpdateId","LegacyName","Type","FileName","Size","CompanyTitles","ProductFamilyTitles","Category","UpdateClassificationTitle","MsrcSeverity","SecurityBulletins","UpdateType","PublicationState","HasLicenseAgreement","RequiresLicenseAgreementAcceptance","State","IsLatestRevision","HasEarlierRevision","IsBeta","HasStaleUpdateApprovals","IsApproved","IsDeclined","HasSupersededUpdates","IsSuperseded","IsWsusInfrastructureUpdate","IsEditable","UpdateSource","AdditionalInformationUrls","Description","ReleaseNotes","FileUri","OriginUri","Hash","AdditionalHash","OSDCore","OSDWinPE","OSDGuid","PartitionKey","RowKey"
"Windows 10 1903","22.2.19.1","","Windows 10","1903","x86","DotNetCU","7/14/2020 5:00:00 PM","4565633","4565633","2020-07 Cumulative Update for .NET Framework 3.5 and 4.8 for Windows 10 Version 1903 (KB4565633)","a3da8cb7-f4cb-48a4-9f9a-4aa893ed6c47","KB4565633-DOTNET-X86-TSL","SelfContained","windows10.0-kb4565633-x86-ndp48.cab","42914096","Microsoft","Windows","Windows 10, version 1903 and later","Security Updates","Critical","","Software","Published","False","False","Ready","True","False","False","False","False","False","True","False","False","False","MicrosoftUpdate","http://support.microsoft.com/kb/4565633","A security issue has been identified in a Microsoft software product that could affect your system. You can help protect your system by installing this update from Microsoft. For a complete listing of the issues that are included in this update, see the associated Microsoft Knowledge Base article. After you install this update, you may have to restart your system.","","http://download.windowsupdate.com/c/msdownload/update/software/secu/2020/06/windows10.0-kb4565633-x86-ndp48_ef48b88b5457e3cebb192e0b662fa2120aa806cd.cab","http://download.windowsupdate.com/c/msdownload/update/software/secu/2020/06/windows10.0-kb4565633-x86-ndp48_ef48b88b5457e3cebb192e0b662fa2120aa806cd.cab","239 72 184 139 84 87 227 206 187 25 46 11 102 47 162 18 10 168 6 205","95 181 158 25 43 34 227 54 251 228 106 1 89 161 207 103 189 248 177 186 44 135 204 30 82 164 34 63 27 35 21 67","","","c6bddd09-8687-470d-8844-90c5cc5d8d7e","Windows 10 1903","c6bddd09-8687-470d-8844-90c5cc5d8d7e"
"Windows 10 1903","22.2.19.1","","Windows 10","1903","x64","DotNetCU","7/14/2020 5:00:00 PM","4565633","4565633","2020-07 Cumulative Update for .NET Framework 3.5 and 4.8 for Windows 10 Version 1903 for x64 (KB4565633)","b31732bb-5254-4e65-b68d-0c68502727b2","KB4565633-DOTNET-X64-TSL","SelfContained","windows10.0-kb4565633-x64-ndp48.cab","74832830","Microsoft","Windows","Windows 10, version 1903 and later","Security Updates","Critical","","Software","Published","False","False","Ready","True","False","False","False","False","False","True","False","False","False","MicrosoftUpdate","http://support.microsoft.com/kb/4565633","A security issue has been identified in a Microsoft software product that could affect your system. You can help protect your system by installing this update from Microsoft. For a complete listing of the issues that are included in this update, see the associated Microsoft Knowledge Base article. After you install this update, you may have to restart your system.","","http://download.windowsupdate.com/c/msdownload/update/software/secu/2020/06/windows10.0-kb4565633-x64-ndp48_2ef3fd9181bc103e2f6e5fe75858fd830c4eafc7.cab","http://download.windowsupdate.com/c/msdownload/update/software/secu/2020/06/windows10.0-kb4565633-x64-ndp48_2ef3fd9181bc103e2f6e5fe75858fd830c4eafc7.cab","46 243 253 145 129 188 16 62 47 110 95 231 88 88 253 131 12 78 175 199","34 105 207 144 31 91 228 96 61 10 183 99 77 116 67 5 148 98 125 211 53 242 157 140 82 33 233 0 23 211 97 12","","","3a1e6afc-6c81-4c76-9702-e10c06e94052","Windows 10 1903","3a1e6afc-6c81-4c76-9702-e10c06e94052"
"Windows 10 1903","22.2.19.1","","Windows 10","1903","x86","DotNetCU","8/11/2020 5:00:00 PM","4569751","4569751","2020-08 Cumulative Update for .NET Framework 3.5 and 4.8 for Windows 10 Version 1903 (KB4569751)","9da5fcaf-1bb6-487b-9c5d-05ebb3ffc190","KB4569751-DOTNET-X86-TSL","SelfContained","windows10.0-kb4569751-x86-ndp48.cab","45127487","Microsoft","Windows","Windows 10, version 1903 and later","Security Updates","Critical","","Software","Published","False","False","Ready","True","False","False","False","False","False","False","False","False","False","MicrosoftUpdate","http://support.microsoft.com/kb/4569751","A security issue has been identified in a Microsoft software product that could affect your system. You can help protect your system by installing this update from Microsoft. For a complete listing of the issues that are included in this update, see the associated Microsoft Knowledge Base article. After you install this update, you may have to restart your system.","","http://download.windowsupdate.com/d/msdownload/update/software/secu/2020/07/windows10.0-kb4569751-x86-ndp48_25a775050009861dd99d22d294cd40d98cf8f7a7.cab","http://download.windowsupdate.com/d/msdownload/update/software/secu/2020/07/windows10.0-kb4569751-x86-ndp48_25a775050009861dd99d22d294cd40d98cf8f7a7.cab","37 167 117 5 0 9 134 29 217 157 34 210 148 205 64 217 140 248 247 167","228 108 125 199 134 10 113 119 172 61 180 78 210 35 72 119 31 61 192 19 44 126 192 251 84 70 121 241 65 206 85 167","","","b93f9240-5716-407c-9709-6b007862af78","Windows 10 1903","b93f9240-5716-407c-9709-6b007862af78"
"Windows 10 1903","22.2.19.1","","Windows 10","1903","x64","DotNetCU","8/11/2020 5:00:00 PM","4569751","4569751","2020-08 Cumulative Update for .NET Framework 3.5 and 4.8 for Windows 10 Version 1903 for x64 (KB4569751)","a02f1a9e-1925-478d-b706-e3c147c0a16c","KB4569751-DOTNET-X64-TSL","SelfContained","windows10.0-kb4569751-x64-ndp48.cab","79306368","Microsoft","Windows","Windows 10, version 1903 and later","Security Updates","Critical","","Software","Published","False","False","Ready","True","False","False","False","False","False","False","False","False","False","MicrosoftUpdate","http://support.microsoft.com/kb/4569751","A security issue has been identified in a Microsoft software product that could affect your system. You can help protect your system by installing this update from Microsoft. For a complete listing of the issues that are included in this update, see the associated Microsoft Knowledge Base article. After you install this update, you may have to restart your system.","","http://download.windowsupdate.com/d/msdownload/update/software/secu/2020/07/windows10.0-kb4569751-x64-ndp48_4d244d17b5d064972f2e3a35fb4b0d65bd707498.cab","http://download.windowsupdate.com/d/msdownload/update/software/secu/2020/07/windows10.0-kb4569751-x64-ndp48_4d244d17b5d064972f2e3a35fb4b0d65bd707498.cab","77 36 77 23 181 208 100 151 47 46 58 53 251 75 13 101 189 112 116 152","21 171 63 0 30 161 162 30 34 63 129 132 11 63 191 176 210 27 202 99 152 129 106 120 117 10 44 207 238 58 156 222","","","a0b3eaf3-a0bf-485a-8aa8-0e0406465c3e","Windows 10 1903","a0b3eaf3-a0bf-485a-8aa8-0e0406465c3e"
"Windows 10 1903","22.2.19.1","","Windows 10","1903","x86","DotNetCU","10/13/2020 5:00:00 PM","4578974","4578974","2020-10 Cumulative Update for .NET Framework 3.5 and 4.8 for Windows 10 Version 1903 (KB4578974)","a6dcfbc5-91b6-45e4-ad37-c9cf1d2c464c","KB4578974-DOTNET-X86-TSL","SelfContained","windows10.0-kb4578974-x86-ndp48.cab","45541098","Microsoft","Windows","Windows 10, version 1903 and later","Security Updates","Important","","Software","Published","False","False","Ready","True","False","False","False","False","False","True","False","False","False","MicrosoftUpdate","http://support.microsoft.com/kb/4578974","A security issue has been identified in a Microsoft software product that could affect your system. You can help protect your system by installing this update from Microsoft. For a complete listing of the issues that are included in this update, see the associated Microsoft Knowledge Base article. After you install this update, you may have to restart your system.","","http://download.windowsupdate.com/d/msdownload/update/software/secu/2020/10/windows10.0-kb4578974-x86-ndp48_61d7cdb3635b5b9f38b78a3b1363619f8048d7a0.cab","http://download.windowsupdate.com/d/msdownload/update/software/secu/2020/10/windows10.0-kb4578974-x86-ndp48_61d7cdb3635b5b9f38b78a3b1363619f8048d7a0.cab","97 215 205 179 99 91 91 159 56 183 138 59 19 99 97 159 128 72 215 160","118 135 182 199 254 28 237 171 14 215 158 198 72 33 41 25 145 46 0 194 74 205 133 203 249 32 212 49 189 42 228 52","","","4d095a1b-9ab4-488a-8bab-e6e92855a534","Windows 10 1903","4d095a1b-9ab4-488a-8bab-e6e92855a534"
"Windows 10 1903","22.2.19.1","","Windows 10","1903","x64","DotNetCU","10/13/2020 5:00:00 PM","4578974","4578974","2020-10 Cumulative Update for .NET Framework 3.5 and 4.8 for Windows 10 Version 1903 for x64 (KB4578974)","bcdd12d9-e56a-46be-88f6-8a97a9f9ad18","KB4578974-DOTNET-X64-TSL","SelfContained","windows10.0-kb4578974-x64-ndp48.cab","79222265","Microsoft","Windows","Windows 10, version 1903 and later","Security Updates","Important","","Software","Published","False","False","Ready","True","False","False","False","False","False","True","False","False","False","MicrosoftUpdate","http://support.microsoft.com/kb/4578974","A security issue has been identified in a Microsoft software product that could affect your system. You can help protect your system by installing this update from Microsoft. For a complete listing of the issues that are included in this update, see the associated Microsoft Knowledge Base article. After you install this update, you may have to restart your system.","","http://download.windowsupdate.com/d/msdownload/update/software/secu/2020/10/windows10.0-kb4578974-x64-ndp48_41555b8719e578e64837b7f9cf500e4ba06a4a56.cab","http://download.windowsupdate.com/d/msdownload/update/software/secu/2020/10/windows10.0-kb4578974-x64-ndp48_41555b8719e578e64837b7f9cf500e4ba06a4a56.cab","65 85 91 135 25 229 120 230 72 55 183 249 207 80 14 75 160 106 74 86","72 48 117 60 99 170 46 130 182 160 33 100 125 84 126 157 180 0 195 165 104 1 211 248 196 159 151 54 181 153 79 198","","","1f918023-7c9a-4694-b8bd-d369a24cfeaa","Windows 10 1903","1f918023-7c9a-4694-b8bd-d369a24cfeaa"
"Windows 10 1903","22.2.19.1","","Windows 10","1903","x86","Optional","10/29/2020 5:00:06 PM","4584642","4584642","The new Microsoft Edge for Windows 10 Version 1903 for x86-based Systems (KB4584642)","389c417c-f30b-4503-a0f7-91a83e50fb13","KB4584642-Windows1019h1Client-RTM-EdgeStable-X86-TSL-World","SelfContained","Windows10.0-KB4584642-x86.cab","84252255","Microsoft","Windows","Windows 10, version 1903 and later Microsoft Edge","Updates","Unspecified","","Software","Published","False","False","Ready","True","False","False","False","False","False","False","False","False","False","MicrosoftUpdate","https://support.microsoft.com/help/4584642","Install this update to upgrade devices from Microsoft Edge legacy to the new Microsoft Edge, which is based on the Chromium open source engine. For more details about the new Microsoft Edge, please see the associated Microsoft Knowledge Base (KB) article. After you install this update, the changes will not take effect until a reboot occurs.","","http://download.windowsupdate.com/c/msdownload/update/software/updt/2020/10/windows10.0-kb4584642-x86_c48447626303bee7f9e5ce4a4971487e8fe488a9.cab","http://download.windowsupdate.com/c/msdownload/update/software/updt/2020/10/windows10.0-kb4584642-x86_c48447626303bee7f9e5ce4a4971487e8fe488a9.cab","196 132 71 98 99 3 190 231 249 229 206 74 73 113 72 126 143 228 136 169","26 20 45 180 38 88 196 136 42 163 215 106 215 41 44 186 56 225 9 124 122 108 229 244 170 47 178 197 160 247 35 218","","","1c13fe62-dfe5-41e1-8a94-3896bd401616","Windows 10 1903","1c13fe62-dfe5-41e1-8a94-3896bd401616"
"Windows 10 1903","22.2.19.1","","Windows 10","1903","x64","Optional","10/29/2020 5:00:14 PM","4584642","4584642","The new Microsoft Edge for Windows 10 Version 1903 for x64-based Systems (KB4584642)","4d97cfbf-50ca-43d3-8f5b-c0add00b520c","KB4584642-Windows1019h1Client-RTM-EdgeStable-X64-TSL-World","SelfContained","Windows10.0-KB4584642-x64.cab","90948393","Microsoft","Windows","Windows 10, version 1903 and later Microsoft Edge","Updates","Unspecified","","Software","Published","False","False","Ready","True","False","False","False","False","False","False","False","False","False","MicrosoftUpdate","https://support.microsoft.com/help/4584642","Install this update to upgrade devices from Microsoft Edge legacy to the new Microsoft Edge, which is based on the Chromium open source engine. For more details about the new Microsoft Edge, please see the associated Microsoft Knowledge Base (KB) article. After you install this update, the changes will not take effect until a reboot occurs.","","http://download.windowsupdate.com/c/msdownload/update/software/updt/2020/10/windows10.0-kb4584642-x64_375922823dad3d1833668e14e810892486ddcbb5.cab","http://download.windowsupdate.com/c/msdownload/update/software/updt/2020/10/windows10.0-kb4584642-x64_375922823dad3d1833668e14e810892486ddcbb5.cab","55 89 34 130 61 173 61 24 51 102 142 20 232 16 137 36 134 221 203 181","0 55 24 214 70 232 77 72 13 64 249 80 119 148 175 155 58 40 60 124 175 103 159 61 197 28 217 236 12 169 99 22","","","8215ee2a-b14c-4d25-93ba-278b35916780","Windows 10 1903","8215ee2a-b14c-4d25-93ba-278b35916780"
"Windows 10 1903","22.2.19.1","","Windows 10","1903","x64","SSU","11/10/2020 6:00:06 PM","4586863","4586863","2020-11 Servicing Stack Update for Windows 10 Version 1903 for x64-based Systems (KB4586863)","de8b7fae-b471-4728-8f60-bb3131ecfdd8","KB4586863-Windows1019h1Client-RTM-ServicingStackUpdate-X64-TSL-World","SelfContained","Windows10.0-KB4586863-x64.cab","14953211","Microsoft","Windows","Windows 10, version 1903 and later","Security Updates","Critical","","Software","Published","False","False","Ready","True","False","False","False","False","False","True","False","False","False","MicrosoftUpdate","https://support.microsoft.com/help/4586863","Install this update to resolve issues in Windows. For a complete listing of the issues that are included in this update, see the associated Microsoft Knowledge Base article for more information. After you install this item, you may have to restart your computer.","","http://download.windowsupdate.com/c/msdownload/update/software/secu/2020/11/windows10.0-kb4586863-x64_99f33b2431aef15bb554a5cce617e92ab4807082.cab","http://download.windowsupdate.com/c/msdownload/update/software/secu/2020/11/windows10.0-kb4586863-x64_99f33b2431aef15bb554a5cce617e92ab4807082.cab","153 243 59 36 49 174 241 91 181 84 165 204 230 23 233 42 180 128 112 130","204 76 169 127 223 167 244 198 187 131 42 99 195 52 196 33 173 254 255 229 243 25 18 196 249 219 71 185 190 185 64 79","","","f9ff9e67-88f0-40f1-9a3f-6870041dcc0e","Windows 10 1903","f9ff9e67-88f0-40f1-9a3f-6870041dcc0e"
"Windows 10 1903","22.2.19.1","","Windows 10","1903","x86","SSU","11/10/2020 6:00:06 PM","4586863","4586863","2020-11 Servicing Stack Update for Windows 10 Version 1903 for x86-based Systems (KB4586863)","673709c6-e1ed-40d1-a806-93c585c8b035","KB4586863-Windows1019h1Client-RTM-ServicingStackUpdate-X86-TSL-World","SelfContained","Windows10.0-KB4586863-x86.cab","6621225","Microsoft","Windows","Windows 10, version 1903 and later","Security Updates","Critical","","Software","Published","False","False","Ready","True","False","False","False","False","False","True","False","False","False","MicrosoftUpdate","https://support.microsoft.com/help/4586863","Install this update to resolve issues in Windows. For a complete listing of the issues that are included in this update, see the associated Microsoft Knowledge Base article for more information. After you install this item, you may have to restart your computer.","","http://download.windowsupdate.com/c/msdownload/update/software/secu/2020/11/windows10.0-kb4586863-x86_b69046fe25b9d5849a0efa91b4c55a91f6fb1c1e.cab","http://download.windowsupdate.com/c/msdownload/update/software/secu/2020/11/windows10.0-kb4586863-x86_b69046fe25b9d5849a0efa91b4c55a91f6fb1c1e.cab","182 144 70 254 37 185 213 132 154 14 250 145 180 197 90 145 246 251 28 30","170 148 230 160 66 87 15 156 227 146 220 108 169 251 196 98 39 79 188 59 24 149 203 89 152 59 1 123 77 197 175 160","","","61b634ac-ac8c-4d78-aa6d-5d5f26bc8cf2","Windows 10 1903","61b634ac-ac8c-4d78-aa6d-5d5f26bc8cf2"
